岗位分类,能力词
BD经理/业务拓展员,领悟能力;逻辑思考力;分析能力;与人沟通;协调组织能力;极富团队合作精神;乐于面对挑战;抗压性
BD经理/业务拓展员,沟通谈判;辅料的采购市场4;职业操;责任感6;协调能力;负责原材料供应链维护
BD经理/业务拓展员,工作负责;抗压性;跨团队合作能力
BD经理/业务拓展员,口齿清晰;普通话标准;学习能力;沟通能力;性格坚韧;应变能力;承压力;敏锐的洞察能力;事业心;高度额责任心
BD经理/业务拓展员,市场开拓;分析决策能力;处理管理;规划能力;效沟通技巧;逻辑思考力;数据分析处理能力
BD经理/业务拓展员,第三方人力;市场开拓;维护能力;沟通交互;极富团队合作精神
BD经理/业务拓展员,办公软件3;执行力;工作责任心;语言表达;沟通协调能力能力;交流公;业务能力
BD经理/业务拓展员,挣钱欲望;沟通交互;乐观积极;学习能力;学上进心;敢于挑战新事物
BD经理/业务拓展员,组织协调力;学习能力;文书表达能力
BD经理/业务拓展员,执业律;自主性;感知能力;独立能力;全面研判;职业操;高度额责任心;沟通能力;极富团队合作精神;分析判断能力
BD经理/业务拓展员,文书表达能力;沟通能力;市场开拓;项目运作能力
BD经理/业务拓展员,学习能力;沟通表达流畅;思维理解能力;文书能力
BD经理/业务拓展员,思路清晰文笔;正形象气质;高度额责任心;学上进心;团队意识;执行力
BD经理/业务拓展员,办公软件3;执行力;工作责任心;语言表达;沟通协调能力能力;交流公;业务能力
BD经理/业务拓展员,沟通能力;极富团队合作精神;自学能力
BD经理/业务拓展员,光伏产品的基础知识;沟通能力;抗压性;沟通协调能力能力;跨团队合作能力;用户服务意识
BD经理/业务拓展员,学习能力;抗压性
BD经理/业务拓展员,offic办公软件;英文打字;适应能力;品德端正;高度额责任心
BD经理/业务拓展员,美妆产品使用;核心功能成分;该品类;单品的初衷;方式4;沟通能力;研分析能力;时间管理推;项目管理能力
BD经理/业务拓展员,文字编写能力;计算机办公软件;offic办公软件;大局意识;组织观念;坚持原则
BD经理/业务拓展员,高度额责任心;学习能力;MicrosoftWord
BD经理/业务拓展员,热爱销售3.学习能力;逻辑能力;表达能力
BD经理/业务拓展员,学上进心;语言表达;抗压性
BD经理/业务拓展员,高度额责任心;沟通能力;团队的协作能力;化办公软件;分析判断能力
BD经理/业务拓展员,处理人际关系;沟通能力;谈判技巧;敢创新;负责任;沟通谈判;学习能力;分析能力
BD经理/业务拓展员,
BD经理/业务拓展员,线上营销;市场敏感度;商务运营;高度额责任心;多项目并行管理能力;执行能力;沟通协作能力;团队配合精神;重视承诺;理性客观;学习能力;喜欢挑战
BD经理/业务拓展员,沟通表达理;商务谈判能力;自驱动力;强烈成就动机
BD经理/业务拓展员,学习能力;沟通表达理;抗压性
BD经理/业务拓展员,英语四级通;英语读写能力;谈判能力;主动性;高度额责任心;跨团队合作能力;班级干部
BD经理/业务拓展员,
BD经理/业务拓展员,英语听;抗压性;沟通表达理;沟通能力;心里承受能力;英语听;抗压性;沟通表达理;沟通能力;心里承受能力;英语听;抗压性;沟通表达理;沟通能力;心里承受能力
BD经理/业务拓展员,英文读写能力;与人交流;效沟通技巧;演讲技巧;ppt操作;Excel函
BD经理/业务拓展员,处理人际关系;B端市场客户特点
BD经理/业务拓展员,美妆产品使用;核心功能成分;单品的初衷;方式5;沟通能力;研分析能力;时间管理推;项目管理能力
BD经理/业务拓展员,美妆产品使用;核心功能成分;单品的初衷;方式5;沟通能力;研分析能力;时间管理推;项目管理能力
BD经理/业务拓展员,普通话标准;跨团队合作能力;自律能力;学习能力
BD经理/业务拓展员,执行力;沟通能力
BD经理/业务拓展员,沟通能力吃苦耐劳;交流能力;市场开拓能力
仓库文员,高度额责任心;团队精神6;SOP去;中英文阅读
仓库文员,口齿清晰;普通话标准;高度额责任心;进取心;极富团队合作精神;应变能力;商业信誉;国内外资本市场;调控能力;服务意识足;服务态度
仓库文员,单cad;word文档;Excel函
仓库文员,offic办公软件;服务意识足
仓库文员,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
仓库文员,极富团队合作精神;职业操
仓库文员,offic办公软件;语言组织能力;文字编辑能力;数据分析处理能力;表达能力;服务精神5;沟通能力;自学习能力
仓库文员,offic办公软件;高度额责任心;极富团队合作精神;系统分析驾驭能力
仓库文员,中专及以上2;高160cm;高度额责任心;沟通协调能力能力;执行能力
仓库文员,AutoCad
仓库文员,英语阅读写作能力;英语四级通;化办公软件;沟通能力;团队精神6;做事有条理
仓库文员,化办公软件;人力资源系统;劳动合同法;责任感6;事业心;沟通能力;逻辑思考力
仓库文员,各项制度要求;高度额责任心;沟通能力;积极主动;执行力;思维敏捷灵活
仓库文员,沟通能力吃苦耐劳;职业操;思维敏捷;接受能力;总结工作经验;offic办公软件;沟通能力
仓库文员,高度额责任心;极富团队合作精神;高度额责任心;协调能力
仓库文员,读写能力;语言表达
仓库文员,化办公软件;Excel函;offic办公软件;理解力;沟通能力;语言表达;学习能力;高度额责任心;沟通协作能力
仓库文员,室行政管理知识;工作流程;基本商务信函写作能力;口头表达能力;公文写作格式;offic办公软件;高度额责任心
仓库文员,
仓库文员,办公室行政工作流程;公文写作格式;offic办公软件;高度额责任心
仓库文员,word文档;Excel函;ppt操作;组织能力;沟通协调能力能力;化办公软件;word文档;Excel函;ppt操作;语言表达;文案功底;自我协调能力
仓库文员,化办公软件;高度额责任心;普通话标准
仓库文员,化办公软件;高度额责任心;普通话标准
仓库文员,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
仓库文员,人际洞察力;组织沟通能力;反映敏捷
仓库文员,极富团队合作精神
仓库文员,offic办公软件;高度额责任心
仓库文员,文字编辑能力;高度额责任心;谦虚谨慎
仓库文员,普通话标准;沟通能力;团队精神6;化办公软件
仓库文员,offic办公软件;网络知识;协调能力;沟通协调能力能力;表达能力;敏锐的观察力;数据分析处理能力;发现问题的能力
仓库文员,沟通能力;电脑操作即
服装销售,沟通能力;数据分析处理能力;判断力;极富团队合作精神;抗压性;高度额责任心
服装销售,销售过程;关键点
服装销售,销售过程;关键点
服装销售,销售过程;关键点
电路设计工程师,
电路设计工程师,
电路设计工程师,模拟电路;无线射频电路设计;CMOS器件;GaAs;SiC;GaN;工艺流程;器件模型;集成电路设计流;LNA;Mixer;PLL设计;Cadenceirun;spectre;GoldenGate;Calibre;Assura;ADS;EMX;MatLab;Verilog;EMX;学上进心;团队的协作能力
电路设计工程师,沟通能力;极富团队合作精神;自学能力;英语口语;书面沟通能力;主人翁意识;责任感6
电路设计工程师,硬件原理;电子产品设计开发流程;英文功底;沟通能力;分析能力;团队意识;自学能力
电路设计工程师,计算机4;承压力;学习能力;适应能力;团队精神6;责任感6
电路设计工程师,
电路设计工程师,英语四级通
电路设计工程师,Verilog;后端设计工具;仿真工具;FPGA应用开发流程;时序概念5;英文技术文档阅读;团队精神6
电路设计工程师,"电路板设计;PADS;Cadenceirun;仿真软件;Hyperlynx;ADS;Ansys有限元;PCIE;USB;MIPI;DDR3;4,LPDDR4;FPGA应用开发流程;XILIN;IntelMKL;Dart语言;NXP;数字滤波器;逻辑分析能力"
电路设计工程师,基础知识;高度额责任心
电路设计工程师,CMOS器件;模拟集成电路设计知识;版图设计;模拟电路设计经验;pspice;Virtuoso;Tcl;python程序;学习能力;极强求知欲望
电路设计工程师,
电路设计工程师,linux操作系统;Verilog;仿真工具;vcs;Verdi等验证环境;Vcs;数字后端设计流程;Encounter;Formality;英语读写能力;化办公软件;逻辑思考力;沟通协调能力能力;极富团队合作精神;态度端正
电路设计工程师,可靠性工作;电性能;driver基础;TCONIC;DC电源转换IC;面板驱动原理;电路板设计;各项量测设备操作;测试原理;抗压性;提炼总结
电路设计工程师,
资产管理员,
资产管理员,沟通能力;学习能力;高度额责任心;word文档;Excel函;ppt操作
资产管理员,价值观吻;思维敏捷;沟通能力;学习能力;团队意识;高度额责任心;word文档;Excel函;ppt操作
资产管理员,
资产管理员,价值观吻;思维敏捷;沟通能力;学习能力;团队意识;高度额责任心;word文档;Excel函;ppt操作
资产管理员,宏观经济;数理能力;研究能力;逻辑思考力;沟通协调能力能力;计划管控能力
资产管理员,语言表达;汉字录入能力;抗压性
资产管理员,券商业务;书面表达;逻辑思考力;数据分析处理能力;学习能力;沟通协调能力能力;抗压性;执行力;极富团队合作精神;各项office
资产管理员,沟通表达理;证券交易基础;CFA;CPA;职业资格证书
资产管理员,协调能力;独立能力;解决问题的意识
ERP实施顾问,沟通能力;ppt操作;高度额责任心;服务意识足;ERP;行业销售;财务管理流程;Mysql的设计;ORACLE数据库;数据库Oracle
ERP实施顾问,沟通能力;文档撰写;抗压性
ERP实施顾问,沟通能力;文档撰写;抗压性
ERP实施顾问,SQLSERVER数据库;ORACLE数据库;数据库Oracle;协调能力;工作抗压能力;极富团队合作精神
ERP实施顾问,沟通能力;文档撰写;抗压性
ERP实施顾问,品德端正;ERP操作系统;SAP
ERP实施顾问,沟通能力;ppt操作;高度额责任心;服务意识足;ERP;行业销售;财务管理流程;Mysql的设计;ORACLE数据库;数据库Oracle
机电技术教师,
机电技术教师,学习能力;沟通能力;团队的协作能力;问题解决;英语语言
机电技术教师,处理用户抱怨的能力;HVAC;电力系统;模块的测试;书面沟通能力
工程造价/工程预算,数据变化敏感度;逻辑思考力;总结分析;主动负责;乐观踏实;沟通能力;化办公软件
工程造价/工程预算,语言协调沟通;文书表达能力;化办公软件;高度额责任心
工程造价/工程预算,高度额责任心;执行力;语言表达;学习力
建筑工程师/建筑设计师/建筑制图师/建筑绘图师,独立能力;工程建筑设计知识;解决问题的意识
建筑工程师/建筑设计师/建筑制图师/建筑绘图师,独立能力;工程建筑设计知识;解决问题的意识
建筑工程师/建筑设计师/建筑制图师/建筑绘图师,运用3DMAX;VR渲染;Lumion流明;Photos;团队精神6;沟通能力
建筑工程师/建筑设计师/建筑制图师/建筑绘图师,AutoCad;3dsMAX;Skecthup;Photos;化办公软件;沟通能力;执行能力;团队协作意识;责任感6
建筑工程师/建筑设计师/建筑制图师/建筑绘图师,AutoCad;3dsMAX;Skecthup;Photos;创新意识;沟通能力;执行能力;团队协作意识;责任感6
建筑工程师/建筑设计师/建筑制图师/建筑绘图师,表达能力;沟通能力;职业素质;极富团队合作精神;AutoCad;Skecthup;Rhino3D;loud
建筑工程师/建筑设计师/建筑制图师/建筑绘图师,3dsMAX;责任感6;极富团队合作精神;效沟通技巧;应变能力;职业素养;抗压性;美术基础
二手车评估师,普通话标准
企业文化管理员,
企业文化管理员,爱剪辑;高度额责任心;学习能力;沟通表达理;团队的协作能力
企业文化管理员,活动策划能力;摄影知识
企业文化管理员,文字功底;逻辑性;积极的心态;组织协调力;执行力;文案策划功底;书写流
企业文化管理员,活动策划能力;文化传递的能力;项目策划能力;组织实施
企业文化管理员,协调能力;宣传能力;Photos
企业文化管理员,沟通协作能力;抗压性
企业文化管理员,文件管理;offic办公软件;高度额责任心;沟通能力;抗压性
企业文化管理员,视频制作软件;脚本撰写;前期拍摄;后期剪辑能力;画面特效包装;平面设计用软件;视觉传播物料;出色的审美能力;发散性思维;平台特点;自媒体;活动策划经验;敏锐的洞察能力;对新鲜事物有强烈的好奇心;英语听说读写能力
企业文化管理员,正形象气质;亲和؜力;沟通协调意愿;文字功底;高度额责任心;抗压性
清算师,证券交易基础;ORACLE数据库;数据库Oracle;Mysql的设计;复杂SQL;server;数据库查询;文书表达能力
清算师,用户服务意识
清算师,数据处理能;RPA技术
投后管理员,化办公软件;Excel函;python程序;ppt操作;工作负责;细致踏实;沟通能力
投后管理员,数字化转型;另类项目数据管理;化办公软件;Excel函;python程序;ppt操作
投后管理员,高度额责任心;化办公软件
广告项目经理/会展项目经理,
房产评估师,数据分析处理能力;学习能力;表达能力
房产评估师,安全性评估流程;报告撰写&semi;学习能力;积极主动;英文读写能力
房产评估师,安全性评估流程;报告撰写&semi;学习能力;积极主动;英文读写能力
房产评估师,安全性评估流程;报告撰写;学习能力;积极主动;英文读写能力
商务司机,
商务司机,沟综合素质
商务司机,普通话标准;抗压性;应变能力;服务意识足;沟通能力;高度额责任心;团队协作意识
商务司机,执行力;团队的协作能力;交流沟通能力
商务司机,
商务司机,
商务司机,商务谈判能力
商务司机,沟通能力;极富团队合作精神
商务司机,
商务司机,
商务司机,三观正;品行良好;承挫抗压能力
商务司机,沟通交互;自我管理能力
商务司机,CET4;自我复原能力;自驱动力;沟通表达理;人际交往
商务司机,IT行业;市场开拓能力;信息化项目行业;自我协调能力;抗压性;应变能力;高度额责任心;开拓精神;跨团队合作能力;沟通表达理;协调能力;抗压性
商务司机,反映敏捷;表达能力;沟通能力;交际技巧;亲和؜力;市场分析;判断能力;用户服务意识;高度额责任心;极富团队合作精神
商务司机,人际交往;协调能力;学习能力;高度额责任心
商务司机,团队精神6
商务司机,普通话标准;学习能力;沟通能力;学习能力;自驱动力
商务司机,进取心
商务司机,处理人际关系;沟通能力;极富团队合作精神
商务司机,协调能力;数据变化敏感度;思维逻辑性;应变能力;解决问题的意识;信守承诺;跨团队合作能力
商务司机,沟通协调能力能力;说服能力;谈判能力;抗压性;客户分析能力;抗塔能力;湿法开发的能力;客户心理;普通话标准;沟通5;化办公软件;计算机操作能力
商务司机,口齿清晰;销售意识;效沟通技巧;普通话标准;性格坚韧;应变能力;承压力;学习能力;积极主动;团队的协作能力;计划性;条理性好
商务司机,口齿清晰;销售意识;效沟通技巧;普通话标准;性格坚韧;应变能力;承压力;学习能力;积极主动;团队的协作能力;计划性;条理性好
商务司机,语言表达;沟通协调能力能力;运营经验
商务司机,学习能力;沟通能力;逻辑思考力;抗压性
商务司机,应变能力;抗压性;高度额责任心;电脑的基本操作
商务司机,
商务司机,知识学习;语言表达;人际交往
商务司机,电子商务业务销售技巧;学习能力;沟通能力;挣钱欲望;性格坚韧;应变能力;承压力;敏锐的洞察能力;事业心;高度额责任心
商务司机,乐观主动;目标性;客户销售的流程;客户的拜访;自我管控;自我挑战能力;极富团队合作精神;奉献精神
商务司机,资源拓展整合;协调能力;抗压性;用户服务意识;执行力;数据分析处理能力
商务司机,与人沟通;做事有条理;学习能力;offic办公软件
商务司机,市场开拓能力;客户沟通;效沟通技巧;IT解决方案销售经验
商务司机,沟通能力;普通话标准;团队精神6;敏锐的洞察能力;抗压性
商务司机,品行良好;高度认同公司企业文化;各项制度要求;服从公司管理;接受上级工作指导;高度额责任心;沟通能力;服务意识足;创业欲望
商务司机,高度额责任心;极富团队合作精神;执行力
商务司机,学习能力;语言沟通能力;挣钱欲望;学上进心;抗压性
商务司机,开发新客户;基本维护的能力;勤奋努力
商务司机,高度额责任心;极富团队合作精神
商务司机,表达能力
商务司机,三观正;化办公软件;offic办公软件;表达能力;沟通能力;交际技巧;市场洞察能力;事业心;高度额责任心;用户服务意识;极富团队合作精神
商务司机,反映敏捷;表达能力;沟通能力;交际技巧;亲和؜力;高度额责任心;极富团队合作精神
商务司机,爱岗敬业;极富团队合作精神;效沟通技巧
商务司机,项目公关;商务谈判;资源拓展整合;市场分析判断;解决问题的意识;事业心
商务司机,沟通能力;普通话标准;亲和؜力;抗压应变能力;进取心;极富团队合作精神
商务司机,offic办公软件;文字基础;适应能力;沟通能力;高度额责任心;态度谦;语言表达;应变能力
商务司机,高度额责任心;沟通能力
商务司机,高度额责任心;沟通能力
商务司机,普通话标准;学习能力;沟通能力
商务司机,沟通力;说服能力;极富团队合作精神
商务司机,学习能力;协调能力;组织策划能力;语言表达;组织能力;团队意识;用户服务意识;offic办公软件;WPS;运营经验
商务司机,销售力;销售欲望;市场嗅觉灵敏;口头表达能力;商务沟通技巧;亲和؜力;学习能力;连接池
商务司机,沟通能力;文案写作能力;ppt操作;跨团队合作能力
商务司机,口齿清晰;普通话标准;学习能力;沟通能力;性格坚韧;应变能力;承压力;敏锐的洞察能力;事业心;高度额责任心
商务司机,
商务司机,
商务司机,普通话标准;团队精神6;服务意识足;沟通协调能力能力;学习能力;责任感6;爱岗敬业
商务司机,执行力;抗压性;沟通能力;极富团队合作精神;执行力;目标有想法;执行力
商务司机,
商务司机,关系建立能力;思维能力;沟通影响力;学上进心;进取心;学习能力;执行力;意志力坚;沟通表达理;学习能力
商务司机,
商务司机,客情维护能力;谈判能力;问题解决;执行力;目标敏感;抗压性
商务司机,理解力;沟通能力
商务司机,
医药项目经理/医药产品经理,化办公软件;沟通讲授能力
医药项目经理/医药产品经理,商业思维;业务敏感度;信息搜集能力;学习创新能力;分析解决问题;沟通能力;抗压性;极富团队合作精神
医药项目经理/医药产品经理,逻辑分析能力
品牌推广人员,offic办公软件;沟通表达理;目标敏感;积极主动;极富团队合作精神
品牌推广人员,组织协调力;团队协作意识;活动方案撰写能力;文案策划功底;执行能力;逻辑性
品牌推广人员,西班牙语;创新能力
品牌推广人员,运营流程;活动方案的策划实施2;独立工作能力;亲和؜力;文书表达能力;ppt操作
品牌推广人员,客户人群;文字功底;独立策划能力;语言表达;组织能力;正形象气质;头脑灵活;思维敏捷;乐于接受挑战
品牌推广人员,口齿清晰;普通话标准;学习能力;沟通能力;性格坚韧;应变能力;承压力;事业心;高度额责任心
品牌推广人员,
品牌推广人员,沟通协作能力
品牌推广人员,英语口语;写作能力;市场营销;开拓创新精神;学习能力
品牌推广人员,抗压性;统筹协调能力;沟通能力
品牌推广人员,极富团队合作精神
移动产品经理,自我管理能力;学习能力;自驱动力;沟通能力;关系建立能力;跨团队合作能力
移动产品经理,积极向上
移动产品经理,axcure;MindManager;Visio;offic办公软件;逻辑分析能力;沟通协作能力;技术理解能力;自学习能力;产品设计;创新精神
带货主播,现场控场能力;正形象气质;镜头感觉;表达能力;普通话标准;沟通表达理;语言组织能力;沟通能力
带货主播,亲和؜力;表达能力;临场处理能力
带货主播,
带货主播,学习力
广告设计师,创意能力;画面处理;表现能力;设计功底;综合能力
广告设计师,
广告设计师,后期制作软件;剪辑工作;短视频玩法热点;自驱动力;沟通协调能力能力;学习能力
广告设计师,亲和؜力;沟通表达理;协调能力;思维敏捷;高度额责任心;抗压性
广告设计师,社交媒体使用;线上运维经验;高度额责任心
广告设计师,premiere;3dsMAX;手绘板绘制;学习能力;创作能力;视频艺;敏感性
广告设计师,平面排版能力;高雅的审美观;图片素材;色彩运营能力
广告设计师,创意能力;画面处理;表现能力;设计功底;综合能力
广告设计师,负责UE4;3dsMAX;责任感6;极富团队合作精神
广告设计师,审美力;创新意思
广告设计师,负责UE4;3dsMAX;高敏感度
广告设计师,AE软件
广告设计师,负责UE4;3dsMAX;责任感6;极富团队合作精神
银行客户经理,普通话标准;电话沟通能力
银行客户经理,普通话标准;沟通表达理;办公计算机操作;工作态度端正;团队精神6;责任感6;学习能力
银行客户经理,
银行客户经理,进取心;沟通能力;学习能力;团队精神6
银行客户经理,普通话标准;表达流畅
银行客户经理,普通话标准;表达流畅
银行客户经理,普通话标准;表达流畅
银行客户经理,普通话标准;效沟通技巧;说服能力;积极上进;抗压性;职业道德;团队精神6
银行客户经理,效沟通技巧;说服能力;积极上进;抗压性;职业道德;团队精神6
插画师,设计过程;手绘板绘制;创意能力;极富团队合作精神;协调能力
插画师,敏捷的创意思维;美术功底;学习能力;SAI;表达能力;极富团队合作精神;高度额责任心
插画师,设计基础;评能力;平面设计用软件;SAI;短视频拍摄;C4D;创新性的优质设计素材;沟通设计思路;积极向上;抗压性
插画师,CDR;工作负责;学上进心
插画师,Photos;CorelDRAW;Flas;Dreamweaver;AdobeInDesign;店铺装修;后台操作;视觉元素;审美力;美术功底;用视觉来;跨团队合作能力;挖掘网络资源;自我挑战精神
插画师,Flas;学习能力
插画师,
插画师,设计过程;手绘板绘制;创意能力;极富团队合作精神;协调能力
插画师,敏捷的创意思维;美术功底;学习能力;SAI;表达能力;极富团队合作精神;高度额责任心
插画师,设计基础;评能力;平面设计用软件;SAI;短视频拍摄;C4D;创新性的优质设计素材;沟通设计思路;积极向上;抗压性
插画师,美术基础;造型功底;Photos;沟通能力;跨团队合作能力;学上进心;学习能力
插画师,二次元产品;acg领;虚拟主播领;绘图软件PS;llustrator;Skecthup;ae动效制作;语言表达;沟通理解能力;高度额责任心;极富团队合作精神;职业素养;职业道德
CAD设计师/CAD制图师,AutoCad;愿意往技术;工作方向发展
导演/编导,C++编程能力;c++语言;NOIP;抗压性;应变能力;普通话标准;英语沟通能力;拓展能力;沟通引导技巧
导演/编导,文字功底;与人沟通;组织开拓能力;职业道德;责任感6
导演/编导,文字功底;与人沟通;组织开拓能力;职业道德;责任感6;文字功底;文字创意;写作能力;学上进心;团队意识;发散性思维;文案脚本能力;沟通协调能力能力;组织统筹能力;落地执行能力
导演/编导,文字功底;与人沟通;组织开拓能力;职业道德;文字功底;文字创意;写作能力;学上进心;团队意识;发散性思维;文案脚本能力;沟通协调能力能力;组织统筹能力;落地执行能力
导演/编导,文字功底;与人沟通;组织开拓能力;职业道德;责任感6;文字功底;文字创意;写作能力;学上进心;团队意识;发散性思维;文案脚本能力;沟通协调能力能力;组织统筹能力;落地执行能力
导演/编导,文字功底;与人沟通;组织开拓能力;职业道德;文字功底;文字创意;写作能力;学上进心;团队意识;发散性思维;文案脚本能力;沟通协调能力能力;组织统筹能力;落地执行能力
导演/编导,洞察力;模仿能力;改变力;灵活运用各种梗;思维敏捷
导演/编导,后期剪辑软件;文字功底;思考分析;策划能力;节目前后期制作流程;高度额责任心;爱岗敬业;团队意识;协调能力
导演/编导,
导演/编导,沟通能力;网络流行梗;抖音美妆博主的内容趋势;经典产品;成分解析;新兴美妆护肤趋势;抗压性;执行力;学习能力;人员配合程度
导演/编导,沟通能力;网络流行梗;抖音美妆博主的内容趋势;经典产品;成分解析;新兴美妆护肤趋势;抗压性;执行力;学习能力;人员配合程度
导演/编导,把握能力;审美力;创意能力;高敏感度;学习能力
导演/编导,尊重原
导演/编导,文字功底;审美力;沟通能力;团队的协作能力;抗压性
礼仪员/迎宾员/接待员,
礼仪员/迎宾员/接待员,服务意识足
礼仪员/迎宾员/接待员,160cm
礼仪员/迎宾员/接待员,三观正
礼仪员/迎宾员/接待员,
礼仪员/迎宾员/接待员,化办公软件;口语能力
礼仪员/迎宾员/接待员,护士执业资格证;沟通能力;服务意识足;高度额责任心;团队的协作能力
礼仪员/迎宾员/接待员,
礼仪员/迎宾员/接待员,化办公软件;口语能力
礼仪员/迎宾员/接待员,护士执业资格证;沟通能力;服务意识足;高度额责任心;团队的协作能力
礼仪员/迎宾员/接待员,三观正;身材好;语言表达
礼仪员/迎宾员/接待员,三观正;身材好;语言表达
礼仪员/迎宾员/接待员,三观正;身材好;语言表达
礼仪员/迎宾员/接待员,三观正;身材好;语言表达
礼仪员/迎宾员/接待员,160cm;三观正;身材好;语言表达
礼仪员/迎宾员/接待员,170cm;160cm;三观正;身材好;语言表达
礼仪员/迎宾员/接待员,170cm;160cm;三观正;身材好;语言表达
礼仪员/迎宾员/接待员,170cm;160cm;三观正;身材好;语言表达
礼仪员/迎宾员/接待员,170cm;160cm;三观正;身材好;语言表达
礼仪员/迎宾员/接待员,语言表达
礼仪员/迎宾员/接待员,幽默风趣;察言观色
婚礼策划,学习能力;思考总结;努力认真
婚礼策划,
工业设计师,
工业设计师,大型Web项目;Web标;IOS反;nagios;Android设计规则;产品设计工具;产品设计能力;审美力;追求像素级精神;热爱生活;行业动向;设计潮流6;自驱力;学习总结7;个人近期作品
工业设计师,
工业设计师,3dsMAX;AutoCad
工业设计师,
工业设计师,
工业设计师,
工业设计师,
工业设计师,景观工程设计绘图;专业知识;AutoCad;Photos;沟通能力;英语能力;学习能力;责任感6
工业设计师,
工业设计师,创新能力;手绘板绘制;表达能力;沟通4;设计公司实习
工业设计师,创新意识;概念的表达;敢于打破常规;视觉表达;沟通表达理;跨团队合作能力;分析问题;解决问题的意识
工业设计师,平面软件;极富团队合作精神;责任感6;学习的意识
工业设计师,设计分析;基础调研能力;Skecthup;Photos;illustrator;Rhino3D;PRO;proE;Keyshot;C4D;3dsMAX;团队意识;自主学习心态
工业设计师,Rhino3D;Keyshot;CorelDRAW;Photos;团队的协作能力;学习能力
工业设计师,设计相关软件;高度额责任心;团队的协作能力;沟通能力
工业设计师,徒手作画能力;CorelDRAW;Rhino3D;PRO;proE;系统设计能力;解决问题的意识
工业设计师,责任心上进心;主动沟通意识;语言表达
工业设计师,AutoCad;3dsMAX;Photos
工业设计师,抗压性;团队协作意识
工业设计师,问题分析;解决能力;极富团队合作精神;主动沟通意识
工业设计师,抗压性;团队协作意识
包装设计师,高度额责任心;设计基础;审美品味;各类设计软件;CDR;学历能力;高度额责任心;自驱动力
包装设计师,主流包装工艺;材质特征;印刷流程;业法律法规;CDR;Rhino3D;SolidWorks;创新能力;沟通能力;团队的协作能力
包装设计师,
包装设计师,立体设计美学;包装视觉设计;2D软件;Photos;AI3D绘图软件;Rhino3D;proE;Keyshot;包装提案能力;表面印刷工艺
包装设计师,高度额责任心;学上进心;极富团队合作精神;主动沟通意识
包装设计师,互联网快速迭代开发的模式;抗压性;高度额责任心;沟通力;极富团队合作精神
包装设计师,协调能力
包装设计师,后潮流;创造力;执行力;货品分析能力
包装设计师,视觉搭配能力;AutoCad;Photos;学习能力;执行力;责任感6;表达能力
包装设计师,平面设计技;产品设计;Photos;3D模型制作经验
包装设计师,手绘板绘制;Photos;CorelDRAW;illustrator;服装工艺流程
包装设计师,问题分析;解决能力;极富团队合作精神;主动沟通意识
包装设计师,审美力;学习能力;平面设计用软件;沟通能力
包装设计师,高度额责任心;设计基础;审美品味;各类设计软件;CDR;学历能力;高度额责任心;自驱动力
包装设计师,主流包装工艺;材质特征;印刷流程;业法律法规;CDR;Rhino3D;SolidWorks;创新能力;沟通能力;团队的协作能力
包装设计师,
包装设计师,立体设计美学;包装视觉设计;2D软件;Photos;AI3D绘图软件;Rhino3D;proE;Keyshot;包装提案能力;表面印刷工艺
医药代表/医药销售员,积极主动;学上进心
医药代表/医药销售员,职业操;沟通能力
医药代表/医药销售员,组织协调力;与人沟通;表达能力;高度额责任心
医药代表/医药销售员,职业操;沟通能力
医药代表/医药销售员,职业操;沟通能力
医药代表/医药销售员,职业操;沟通能力
医药代表/医药销售员,职业操;沟通能力
医药代表/医药销售员,职业操;沟通能力
医药代表/医药销售员,执行力;沟通协调能力能力;高度额责任心
医药代表/医药销售员,沟通表达理
医药代表/医药销售员,人际交往;沟通表达理;抗压性
医药代表/医药销售员,沟通能力;市场信息分析能力;语言表达;自我协调能力;抗压性;自学习能力;团队精神6
医药代表/医药销售员,沟通表达理
医药代表/医药销售员,工作独立性;自我管理能力;沟通能力吃苦耐劳;沟通能力;极富团队合作精神
理财顾问/理财销售,符合中欧基金;乐观开朗;高度额责任心;沟通协调能力能力;创新意识
理财顾问/理财销售,口齿清晰;学习能力;沟通能力;应变能力;承压力;敏锐的洞察能力;事业心;高度额责任心
按摩师,进取心;竞争意识;思维逻辑性;管理潜质;团队的协作能力;凝聚力;高度额责任心;执行力
按摩师,进取心;思维逻辑性;管理潜质;团队的协作能力;凝聚力;高度额责任心;执行力
信用卡销售,责任感6;敬业度;沟通能力;抗压性
金融服务讲师/金融咨询顾问,快速适应;自我研究能力;新鲜事务;分析解决问题;沟通表达理;协调能力;责任感6
金融服务讲师/金融咨询顾问,团队意识;沟通能力;国内期货;资源拓展整合;分析能力;沟通能力;市场洞察能力;跨团队合作能力;团队创新精神;事业企图心
金融服务讲师/金融咨询顾问,口齿清晰;普通话标准;人学习能力;沟通能力;性格坚韧;思维敏捷;应变能力;承压力;市场洞察能力;事业心;高度额责任心
金融服务讲师/金融咨询顾问,
临床监查员/CRA,理解力;逻辑思考力;跨团队合作能力;工作责任心
临床监查员/CRA,理解力;逻辑思考力;跨团队合作能力;工作责任心
